Eruption date;Country;Volcano Name;Location;Tsunami;Earthquake;Elevation;Volcano Type;Status;Volcanic Explosivity Index;Volcano : Deaths;Total Effects : Deaths;Coordinates
1990-02-10;Indonesia;Kelut;Java;non;non;1731;Stratovolcano;Historical;4;32;32;-7.93, 112.308
1993-06-23;Japan;Unzen;Kyushu-Japan;non;non;1500;Complex volcano;Historical;1;1;1;32.75, 130.3
2010-08-06;Indonesia;Karangetang [Api Siau];Sangihe Is-Indonesia;non;non;1784;Stratovolcano;Historical;3;4;4;2.78, 125.48
2014-11-10;United States;Kilauea;Hawaiian Is;non;non;1222;Shield volcano;Historical;;;;19.425, -155.292
1389-12-01;Iceland;Hekla;Iceland-S;non;non;1491;Stratovolcano;Historical;3;;;63.98, -19.7
1590-01-15;Mexico;Colima;Mexico;non;non;3850;Stratovolcano;Historical;3;;;19.514, -103.62
1606-01-23;Japan;Hachijo-jima;Izu Is-Japan;oui;non;854;Stratovolcano;Historical;2;;;33.13, 139.77
1712-01-15;Iceland;Bardarbunga;Iceland-NE;non;non;2000;Stratovolcano;Historical;2;;;64.63, -17.53
1783-08-05;Japan;Asama;Honshu-Japan;non;non;2560;Complex volcano;Historical;4;1491;1491;36.4, 138.53
1822-12-27;Indonesia;Merapi;Java;non;non;2947;Stratovolcano;Historical;3;100;100;-7.542, 110.442
1845-02-08;Indonesia;Soputan;Sulawesi-Indonesia;oui;oui;1784;Stratovolcano;Historical;2;;118;1.108, 124.725
1847-04-09;Cape Verde;Fogo;Cape Verde Is;non;non;2829;Stratovolcano;Historical;2;;;14.95, -24.35
1951-11-05;Japan;Hakone;Honshu-Japan;non;non;1438;Complex volcano;Radiocarbon;;2;2;35.22, 139.02
1958-07-21;Japan;Daisetsu;Hokkaido-Japan;non;non;2290;Stratovolcano;Tephrochronology;;2;2;43.68, 142.88
1969-01-07;Indonesia;Merapi;Java;non;non;2947;Stratovolcano;Historical;2;3;3;-7.542, 110.442
1983-07-23;Indonesia;Colo [Una Una];Sulawesi-Indonesia;non;non;507;Stratovolcano;Historical;4;;;-0.17, 121.608
1994-11-03;Indonesia;Rinjani;Lesser Sunda Is;non;non;3726;Stratovolcano;Historical;3;31;31;-8.42, 116.47
1999-10-05;Ecuador;Guagua Pichincha;Ecuador;non;non;4784;Stratovolcano;Historical;3;2;2;-0.171, -78.598
2002-01-17;Congo, DRC;Nyiragongo;Africa-C;non;non;3470;Stratovolcano;Historical;1;100;100;-1.52, 29.25
2011-03-18;Indonesia;Karangetang [Api Siau];Sangihe Is-Indonesia;non;non;1784;Stratovolcano;Historical;;;;2.78, 125.48
2012-02-10;United States;Kilauea;Hawaiian Is;non;non;1222;Shield volcano;Historical;;;;19.425, -155.292
2012-03-02;United States;Kilauea;Hawaiian Is;non;non;1222;Shield volcano;Historical;;;;19.425, -155.292
1334-01-01;Indonesia;Kelut;Java;non;non;1731;Stratovolcano;Historical;3;;;-7.93, 112.308
1873-01-01;Italy;Vesuvius;Italy;non;non;1281;Complex volcano;Historical;;9;9;40.821, 14.426
1895-06-17;Papua New Guinea;Karkar;New Guinea-NE of;non;non;1839;Stratovolcano;Historical;2;1;21;-4.649, 145.964
1902-05-20;Martinique;Pelee;W Indies;oui;non;1397;Stratovolcano;Historical;;;;14.82, -61.17
1904-02-25;Comoros;Karthala;Indian O-W;non;non;2361;Shield volcano;Historical;2;1;1;-11.75, 43.38
1928-11-02;Italy;Etna;Italy;non;non;3350;Stratovolcano;Historical;1;5;5;37.734, 15.004
1929-01-06;Chile;Calbuco;Chile-S;non;non;2003;Stratovolcano;Historical;3;;;-41.326, -72.614
1930-12-18;Indonesia;Merapi;Java;non;non;2947;Stratovolcano;Historical;3;1369;1369;-7.542, 110.442
1950-08-28;Indonesia;Semeru;Java;non;non;3676;Stratovolcano;Historical;1;6;6;-8.108, 112.92
1972-06-09;Reunion;Fournaise, Piton de la;Indian O-W;non;non;2631;Shield volcano;Historical;2;3;3;-21.229, 55.713
1996-09-27;Nicaragua;Maderas;Nicaragua;non;non;1394;Stratovolcano;Holocene;;6;6;11.446, -85.515
2002-11-03;Ecuador;Reventador;Ecuador;non;non;3562;Stratovolcano;Historical;4;;;-0.078, -77.656
2016-10-08;Japan;Aso;Kyushu-Japan;non;non;1592;Caldera;Historical;;;;32.88, 131.1
1873-01-16;Philippines;Ragang;Mindanao-Philippines;non;non;2815;Stratovolcano;Historical;2;;;7.67, 124.5
1919-05-19;Indonesia;Kelut;Java;non;non;1731;Stratovolcano;Historical;4;5110;5110;-7.93, 112.308
1920-10-29;El Salvador;Izalco;El Salvador;non;non;1950;Stratovolcano;Historical;3;;;13.813, -89.633
1938-05-09;Japan;Bandai;Honshu-Japan;non;non;1819;Stratovolcano;Historical;;2;2;37.6, 140.08
1985-05-10;Indonesia;Semeru;Java;non;non;3676;Stratovolcano;Historical;3;70;70;-8.108, 112.92
1992-07-05;Indonesia;Marapi;Sumatra;non;non;2891;Complex volcano;Historical;2;1;1;-0.381, 100.473
2004-10-24;Papua New Guinea;Manam;New Guinea-NE of;non;non;1807;Stratovolcano;Historical;4;5;5;-4.1, 145.061
2010-05-29;United States;Sarigan;Mariana Is-C Pacific;oui;oui;538;Stratovolcano;Holocene;;;;16.708, 145.78
2018-12-26;Italy;Etna;Italy;non;oui;3350;Stratovolcano;Historical;2;;;37.734, 15.004
2020-01-12;Philippines;Taal;Luzon-Philippines;non;non;400;Stratovolcano;Historical;;;;14.002, 120.993
1823-02-01;United States;Kilauea;Hawaiian Is;non;non;1222;Shield volcano;Historical;0;;;19.425, -155.292
1832-12-25;Indonesia;Merapi;Java;non;non;2947;Stratovolcano;Historical;3;32;32;-7.542, 110.442
1838-02-26;Indonesia;Gamalama;Halmahera-Indonesia;non;non;1715;Stratovolcano;Historical;2;4;4;0.8, 127.325
1858-01-01;Philippines;Mayon;Luzon-Philippines;non;non;2462;Stratovolcano;Historical;2;;;13.257, 123.685
1872-12-01;Japan;Aso;Kyushu-Japan;non;non;1592;Caldera;Historical;3;4;4;32.88, 131.1
1879-02-04;Italy;Stromboli;Italy;oui;non;926;Stratovolcano;Historical;2;;;38.789, 15.213
1989-02-12;Japan;Aso;Kyushu-Japan;non;non;1592;Caldera;Historical;;1;1;32.88, 131.1
1992-03-18;Indonesia;Dieng Volc Complex;Java;non;non;2565;Complex volcano;Historical;;1;1;-7.2, 109.92
1993-02-02;Philippines;Mayon;Luzon-Philippines;non;non;2462;Stratovolcano;Historical;2;75;75;13.257, 123.685
1995-05-15;Indonesia;Kelimutu;Lesser Sunda Is;non;non;1640;Complex volcano;Historical;;1;1;-8.758, 121.83
1800-01-01;United States;St. Helens;US-Washington;non;non;2549;Stratovolcano;Historical;5;;;46.2, -122.18
1827-06-27;Russia;Avachinsky;Kamchatka;oui;oui;2741;Stratovolcano;Historical;2;;;53.255, 158.83
1995-04-07;Guatemala;Pacaya;Guatemala;non;non;2552;Complex volcano;Historical;3;1;1;14.381, -90.601
1999-05-21;Guatemala;Fuego;Guatemala;non;non;3763;Stratovolcano;Historical;2;;;14.473, -90.88
2017-12-27;Indonesia;Sinabung;Sumatra;non;non;2460;Stratovolcano;Holocene;;;;3.17, 98.392
1362-06-05;Iceland;Oraefajokull;Iceland-SE;non;non;2119;Stratovolcano;Historical;5;220;220;64.0, -16.65
1670-01-01;Vanuatu;Aoba;Vanuatu-SW Pacific;non;non;1496;Shield volcano;Historical;2;;;-15.4, 167.83
1780-07-27;Japan;Aoga-shima;Izu Is-Japan;non;non;423;Stratovolcano;Historical;3;7;7;32.45, 139.77
1926-05-24;Japan;Tokachi;Hokkaido-Japan;non;non;2077;Stratovolcano;Historical;3;144;144;43.42, 142.68
1977-01-10;Congo, DRC;Nyiragongo;Africa-C;non;non;3470;Stratovolcano;Historical;1;;;-1.52, 29.25
1991-06-03;Japan;Unzen;Kyushu-Japan;non;non;1500;Complex volcano;Historical;1;43;43;32.75, 130.3
2014-02-01;Indonesia;Sinabung;Sumatra;non;non;2460;Stratovolcano;Holocene;;17;17;3.17, 98.392
1866-02-20;Greece;Santorini;Greece;non;non;329;Shield volcano;Historical;2;1;1;36.404, 25.396
1886-08-31;Tonga;Niuafo'ou;Tonga-SW Pacific;non;non;260;Shield volcano;Historical;4;;;-15.6, -175.63
1914-01-01;Vanuatu;Aoba;Vanuatu-SW Pacific;non;non;1496;Shield volcano;Historical;;100;100;-15.4, 167.83
1974-02-11;Indonesia;Karangetang [Api Siau];Sangihe Is-Indonesia;non;non;1784;Stratovolcano;Historical;3;4;4;2.78, 125.48
1992-01-01;Indonesia;Semeru;Java;non;non;3676;Stratovolcano;Historical;3;3;3;-8.108, 112.92
1636-05-15;Iceland;Hekla;Iceland-S;non;non;1491;Stratovolcano;Historical;3;;;63.98, -19.7
1871-08-07;Indonesia;Gamalama;Halmahera-Indonesia;non;non;1715;Stratovolcano;Historical;2;1;1;0.8, 127.325
1872-01-01;Russia;Sinarka;Kuril Is;non;non;934;Stratovolcano;Historical;4;;;48.875, 154.175
1899-11-13;Colombia;Dona Juana;Colombia;non;non;4150;Stratovolcano;Historical;4;55;55;1.47, -76.92
1905-03-10;Italy;Vesuvius;Italy;non;non;1281;Complex volcano;Historical;2;1;1;40.821, 14.426
1931-08-20;Japan;Asama;Honshu-Japan;non;non;2560;Complex volcano;Historical;3;3;3;36.4, 138.53
1963-09-05;Indonesia;Batur;Lesser Sunda Is;non;non;1717;Caldera;Historical;2;2;2;-8.242, 115.375
1994-06-06;Colombia;Huila;Colombia;non;oui;5365;Stratovolcano;Historical;;;650;2.92, -76.05
1999-10-16;Ecuador;Tungurahua;Ecuador;non;non;5023;Stratovolcano;Historical;3;1;1;-1.467, -78.442
1341-05-19;Iceland;Hekla;Iceland-S;non;non;1491;Stratovolcano;Historical;3;;;63.98, -19.7
1430-01-01;Vanuatu;Kuwae;Vanuatu-SW Pacific;non;non;-2;Caldera;Historical;;;;-16.829, 168.536
1510-07-25;Iceland;Hekla;Iceland-S;non;non;1491;Stratovolcano;Historical;4;1;1;63.98, -19.7
1717-08-27;Guatemala;Fuego;Guatemala;non;non;3763;Stratovolcano;Historical;3;;;14.473, -90.88
1845-02-19;Colombia;Ruiz;Colombia;non;non;5321;Stratovolcano;Historical;3;1000;1000;4.895, -75.322
1928-03-28;Indonesia;Krakatau;Indonesia;oui;non;813;Caldera;Historical;;;;-6.102, 105.423
1940-07-24;Tanzania;Lengai, Ol Doinyo;Africa-E;non;non;2890;Stratovolcano;Historical;2;;;-2.751, 35.902
1969-03-21;Philippines;Didicas;Luzon-N of;oui;non;244;Compound volcano;Historical;2;;3;19.077, 122.202
1673-05-20;Indonesia;Gamkonora;Halmahera-Indonesia;oui;non;1635;Stratovolcano;Historical;5;;;1.375, 127.52
1792-05-21;Japan;Unzen;Kyushu-Japan;oui;oui;1500;Complex volcano;Historical;2;;15000;32.75, 130.3
1818-02-05;Mexico;Colima;Mexico;non;non;3850;Stratovolcano;Historical;4;;;19.514, -103.62
1863-08-17;Vanuatu;Yasur;Vanuatu-SW Pacific;oui;oui;361;Stratovolcano;Historical;;;;-19.52, 169.425
1884-02-01;Indonesia;Krakatau;Indonesia;oui;non;813;Caldera;Historical;;;;-6.102, 105.423
1888-03-13;Papua New Guinea;Ritter Island;New Guinea-NE of;oui;non;140;Stratovolcano;Historical;3;;;-5.52, 148.121
1888-07-15;Japan;Bandai;Honshu-Japan;non;non;1819;Stratovolcano;Historical;4;461;461;37.6, 140.08
1979-02-20;Indonesia;Dieng Volc Complex;Java;non;non;2565;Complex volcano;Historical;1;149;149;-7.2, 109.92
